AL_switch_point_mean,AL_switch_point_median,AL_switch_point_std,active_learning_strategy,budget_per_item_mean,budget_per_item_median,budget_per_item_std,budget_spent_per_item_mean,budget_spent_per_item_median,budget_spent_per_item_std,f1_mean,f1_median,f1_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,screening_out_threshold
0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.5677929290011661,0.5678292346586993,0.008258082577632995,16.3,17.0,2.5841396591085743,379.2,378.5,12.470409420348279,0.09214,0.0931,0.003377112507585272,0.4066082094959299,0.4067364386792453,0.007956835223828711,0.9409420289855072,0.9384057971014492,0.009362824851842665,0.99
0.1,0.1,1.4628472785736255e-17,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.12990594180203546,0.10983165357193353,0.07593244896871533,176.3,241.5,118.08664427256605,757.7,319.0,779.0515672562661,0.32784,0.3121,0.0485168286954812,0.09567237973875373,0.09703629495568633,0.034511474541468495,0.361231884057971,0.125,0.427850160407848,0.99
0.2,0.2,2.925694557147251e-17,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.2350920171645585,0.2442535549191192,0.06745136398106577,33.1,10.0,75.55196886911683,1481.0,1631.0,354.3278456771669,0.32930000000000004,0.3383,0.04304346640316043,0.13640505151056104,0.13966049257447574,0.038048398823205896,0.880072463768116,0.9637681159420288,0.2737390176417277,0.99
0.3,0.30000000000000004,5.851389114294502e-17,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.19503470859506788,0.2508959131056649,0.10061077089399392,78.7,8.5,116.1876356014988,1343.9,1540.0,354.0189731262059,0.34748,0.32630000000000003,0.05110313754229447,0.11358410316384412,0.14410063162439588,0.056169726688967636,0.7148550724637681,0.9692028985507246,0.4209696942083289,0.99
0.4,0.4,5.851389114294502e-17,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.19499847483427485,0.2256596740494001,0.07765270731236062,56.9,14.0,95.28022996520431,1650.3,1686.0,240.77239136671054,0.38696,0.3725,0.057933970077053136,0.11133193604060204,0.12774189117258195,0.04355892241649576,0.7938405797101449,0.9492753623188406,0.34521822451160994,0.99
0.5,0.5,0.0,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.16161496671160844,0.1972908788708454,0.06112708349676699,66.0,8.5,93.77632963600144,2004.6,2091.0,243.13836938391003,0.46692,0.4436,0.049502700263049634,0.09053994031779122,0.10975420959270428,0.03332747204637832,0.7608695652173914,0.9692028985507246,0.3397693102753675,0.99
0.6,0.6000000000000001,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.13946686901621194,0.14579532043793236,0.05822295746040008,94.1,81.0,92.55802984554548,2042.2,2030.0,209.61647517947307,0.50254,0.5077,0.0536752415509754,0.07809828979380365,0.08136210741428561,0.03167273004844803,0.6590579710144928,0.7065217391304348,0.3353551805998025,0.99
0.7000000000000001,0.7000000000000001,0.0,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.15259532994222982,0.17758991193036885,0.035254045877591005,54.7,6.5,63.80708772890709,2363.2,2424.0,133.42230364939405,0.5273399999999999,0.506,0.038221116909082836,0.08435858871539645,0.0976236451974586,0.01895038992005027,0.8018115942028986,0.9764492753623188,0.23118510046705465,0.99
0.7999999999999999,0.8,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.14497165509085538,0.13577620318045586,0.01937832849955446,47.6,67.0,39.25755412090208,2632.5,2593.5,83.36032896074994,0.5741,0.5857,0.023878442160241514,0.07945592818562365,0.07457375729184809,0.010333251085622277,0.8275362318840578,0.7572463768115942,0.14223751493080464,0.99
0.9000000000000001,0.9,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.1414780546899238,0.1364692622087389,0.01051464859499044,44.0,55.5,23.49940897601942,2766.3,2742.5,60.69605515279483,0.5972600000000001,0.6020000000000001,0.012329927457658095,0.07724386198378283,0.07460679608760619,0.005558056378382078,0.8405797101449275,0.7989130434782609,0.08514278614499791,0.99
1.0,1.0,0.0,random_sampling,1.0,1.0,0.0,0.9719999999999998,0.972,2.340555645717801e-16,0.5495053730397539,0.5467858501331304,0.01591546800322997,154.0,159.0,9.809292646374775,45.7,42.0,18.50555472163846,0.16313999999999998,0.1659,0.0067764625317671785,0.7369086398499143,0.7429986214902415,0.06806803015737868,0.4420289855072464,0.4239130434782609,0.03554091538541584,0.99
0.0,0.0,0.0,,2.0,2.0,0.0,1.264,1.2634,0.009411104552011362,0.9614620389903256,0.961786736707524,0.007944159230177451,18.7,18.0,3.917198545446024,1.9,2.0,0.8755950357709131,0.01908,0.0185,0.003942024296672403,0.9926730430383268,0.9922470137480279,0.003353530588983808,0.9322463768115942,0.934782608695652,0.014192748353065316,0.99
