AL_switch_point_mean,AL_switch_point_median,AL_switch_point_std,active_learning_strategy,budget_per_item_mean,budget_per_item_median,budget_per_item_std,budget_spent_per_item_mean,budget_spent_per_item_median,budget_spent_per_item_std,f1_mean,f1_median,f1_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,screening_out_threshold
0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.10548042583410168,0.10547434891342757,6.0692311419942264e-05,0.0,0.0,0.0,4681.2,4681.5,3.0110906108363236,0.93624,0.9363,0.0006022181221672615,0.05567661011254578,0.05567322295663643,3.381939130520113e-05,1.0,1.0,0.0,0.99
0.1,0.1,1.4628472785736255e-17,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.10658080686776653,0.10656370656370656,0.00017248089531452914,0.1,0.0,0.31622776601683794,4625.4,4627.5,7.1987653262363125,0.92518,0.9255,0.0014218923228493214,0.056291281426794536,0.056280587275693315,9.43626653538e-05,0.9996376811594204,1.0,0.0011457527754233311,0.99
0.2,0.2,2.925694557147251e-17,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.11003472713683818,0.11000399002030277,0.0002484943829190189,0.1,0.0,0.31622776601683794,4462.9,4462.5,11.009591777677825,0.8926799999999998,0.8927,0.0021647683992109122,0.058221746431575086,0.058203292339518486,0.00013803286900226485,0.9996376811594204,1.0,0.0011457527754233311,0.99
0.3,0.30000000000000004,5.851389114294502e-17,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.11211520077091973,0.11167307760310867,0.0012400000364533436,0.4,0.0,0.5163977794943223,4365.3,4387.0,53.78981729328,0.87346,0.8778,0.010716156027232896,0.0593922106623195,0.05913863566995065,0.0006962436129130798,0.9985507246376812,1.0,0.0018710064474432046,0.99
0.4,0.4,5.851389114294502e-17,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.10704975073982764,0.1150240432367935,0.025982367311938183,24.7,0.0,77.75752911026258,3962.4,4242.0,864.1070149775046,0.8171800000000001,0.8484,0.09515444521641876,0.05699632946167455,0.06102149366836526,0.013165738032631259,0.9105072463768116,1.0,0.281730177935734,0.99
0.5,0.5,0.0,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.1178279166302404,0.11793662312530236,0.0006496656467787487,0.8,0.5,1.0327955589886446,4120.1,4125.0,21.865497936246506,0.8248200000000001,0.825,0.004369032438016972,0.06261357401488153,0.06267061021015949,0.0003592364292414779,0.9971014492753624,0.9981884057971014,0.003742012894886409,0.99
0.6,0.6000000000000001,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.11410671905382185,0.11911957333237963,0.016462520488588768,19.6,0.5,60.227716026575145,3875.9,4060.0,601.0711642097336,0.79478,0.8131999999999999,0.06003831739444033,0.06087921283391669,0.06333181691813886,0.008127338549797566,0.9289855072463771,0.9981884057971014,0.21821636241512735,0.99
0.7000000000000001,0.7000000000000001,0.0,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.12181337444958497,0.12184901072654307,0.00048532526702265057,0.4,0.0,0.5163977794943223,3973.4,3974.5,14.346505575303773,0.7950800000000001,0.7954,0.003037835486731382,0.06486305208379252,0.06488478271914958,0.0002702400121835131,0.9985507246376812,1.0,0.0018710064474432046,0.99
0.7999999999999999,0.8,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.12237157779188335,0.1241425856246019,0.006041038870152177,9.9,1.0,28.50906288650447,3794.6,3891.0,266.61841230075953,0.7688200000000001,0.7787,0.02555142092156737,0.06535299637286049,0.06617911616523132,0.002921375120190613,0.9641304347826086,0.9963768115942028,0.10329370611052344,0.99
0.9000000000000001,0.9,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.1193299433412891,0.12053868475179008,0.005927710970687869,31.5,29.5,33.066431450776314,3561.9,3563.0,321.7281288431102,0.74388,0.7445999999999999,0.0315022679959537,0.06400759007032354,0.0646662849068842,0.0027860795176520023,0.8858695652173914,0.8931159420289855,0.11980591105353736,0.99
